model_name,total_parameters,accuracy,macro_precision,macro_recall,macro_f1,balanced_accuracy,matthews_corrcoef,roc_auc,macro_specificity,non_demented_recall,very_mild_demented_recall,mild_demented_recall,moderate_demented_recall,non_demented_f1,very_mild_demented_f1,mild_demented_f1,moderate_demented_f1,average_latency_ms,checkpoint_path
MobileNetV2,2228996,0.9313,0.9444,0.9425,0.9434,0.9425,0.8868,0.9936,0.9715,0.9437,0.9226,0.9037,1.0,0.9447,0.9185,0.9104,1.0,2.93,results/models/mobilenet_v2_best.pt
EfficientNet-B0,4012672,0.9823,0.9851,0.9903,0.9876,0.9903,0.9711,0.9989,0.993,0.9729,0.9881,1.0,1.0,0.9821,0.9794,0.989,1.0,2.2,results/models/efficientnet_b0_best.pt
ResNet-18,11178564,0.9844,0.9893,0.9829,0.986,0.9829,0.9743,0.9991,0.9932,0.9938,0.9821,0.9556,1.0,0.9896,0.9807,0.9736,1.0,1.77,results/models/resnet18_best.pt
